H2,CO,C2H4,C2H2
0.0018019092837,2.4774041836e-05,0.00012840117907,1.180775447e-05
0.0018020537167,2.3622670876999995e-05,0.00012921921823,1.1789961375e-05
0.0018022003067,2.2420383998e-05,0.00013004900813,1.1772478789000002e-05
0.0018023489206,2.1170326023e-05,0.000130889823,1.1755287533e-05
0.0018024994635,1.9874734121e-05,0.00013174114652,1.1738373964000002e-05
0.0018026518795,1.8534931097e-05,0.00013260267341,1.1721730014e-05
0.0018028061514,1.7151321414e-05,0.00013347431031,1.1705353217e-05
0.0018029623009999,1.5723389987999998e-05,0.00013435617612,1.1689246715e-05
0.001803120389,1.4249703727e-05,0.00013524860155,1.1673419247e-05
0.001803280515,1.2727915835e-05,0.0001361521282299,1.1657885124000002e-05
0.0018034428165999,1.1154772855e-05,0.0001370675070099,1.1642664189000002e-05
0.0018036074697,9.5261244343e-06,0.00013799569575,1.1627781750999998e-05
0.0018037746877,7.8369357926e-06,0.0001389378563899,1.1613268514e-05
0.0018039447206,6.0813028497e-06,0.00013989535154,1.1599160486e-05
0.0018041178547,4.2524699791e-06,0.0001408697403,1.1585498865e-05
0.0018042944114,2.3428503357e-06,0.00014186277362,1.1572329918e-05
0.0018044747464,3.4404870472e-07,0.0001428763890099,1.1559704843e-05
0.0018046592484,1.753113191e-06,0.0001439127047,1.1547679615e-05
0.0018048483384,3.9585689931e-06,0.00014497401325,1.1536314813e-05
0.0018050424679999,6.2829776943e-06,0.00014606277461,1.1525675439e-05
0.0018052421179999,8.7376913906e-06,0.00014718160872,1.1515830726e-05
0.0018054477973,1.1334720885e-05,0.0001483332875,1.1506853919000002e-05
0.0018056600410999,1.408669924e-05,0.0001495207265,1.1498822061e-05
0.0018058794094,1.7006843366e-05,0.00015074697603,1.1491815756e-05
0.0018061064852,2.0108913772e-05,0.00015201521184,1.148591892e-05
0.0018063418725999,2.3407172554000004e-05,0.00015332872543,1.148121853e-05
0.0018065861953,2.6916339773e-05,0.000154690914,1.1477804357e-05
0.0018068400944,3.0651548305000004e-05,0.00015610527004,1.1475768687999998e-05
0.0018071042265999,3.4628297312e-05,0.00015757537055,1.1475206042000005e-05
0.0018073792619,3.886240444300001e-05,0.00015910486605,1.1476212885e-05
0.0018076658819,4.3369956906000006e-05,0.00016069746925,1.1478887322e-05
0.0018079647775,4.8167261531e-05,0.00016235694357,1.1483328801e-05
0.0018082766467,5.327079397600001e-05,0.00016408709138,1.1489637797e-05
0.0018086021924,5.869714719e-05,0.00016589174212,1.1497915503e-05
0.0018089421204,6.4462979304e-05,0.00016777474028,1.1508263505999998e-05
0.0018092971369,7.0584961058e-05,0.00016973993325,1.1520783472e-05
0.0018096679465999,7.707972293e-05,0.0001717911591299,1.1535576823e-05
0.0018100552499,8.3963802105e-05,0.0001739322345,1.1552744409000002e-05
0.0018104597414,9.1253589419e-05,0.00017616694216,1.1572386189e-05
0.0018108821069,9.8965276435e-05,0.0001784990189,1.1594600906e-05
0.0018113230219,0.00010711480279,0.0001809321434,1.1619485769e-05
0.0018117831486,0.00011571780393,0.00018346992412,1.1647136128e-05
0.0018122631344999,0.00012478955947,0.0001861158873899,1.1677645166e-05
0.0018127636095999,0.00013434494215,0.00018887346566,1.1711103584e-05
0.0018132851847,0.0001443983677,0.0001917459859,1.1747599295999998e-05
0.0018138284489,0.00015496374565,0.00019473665825,1.1787217127999998e-05
0.0018143939682999,0.00016605443127,0.00019784856494,1.1830038527e-05
0.0018149822829999,0.00017768317871,0.00020108464945,1.1876141273e-05
0.0018155939061,0.00018986209551,0.00020444770606,1.1925599204000002e-05
0.0018162293211,0.00020260259866,0.00020794036967,1.1978481945e-05
0.0018168889809,0.00021591537218,0.000211565106,1.2034854654e-05
0.0018175733051,0.00022981032649,0.00021532420227,1.2094777768e-05
